P,Q,R
0.0011366947,0.010470287,0.0023299283
0.0030141491,0.011931428,0.003156418
-0.0048629213,0.007048903,0.0050729723
0.00911548,0.0035584015,0.0037890447
-0.00047431554,0.011092171,0.001648196
-0.000103136015,0.0033410783,0.0040670414
-0.0059534116,0.010448138,0.006301546
0.0032988994,0.0076920446,0.0046262527
0.010402065,0.0042545157,-0.0007141982
-4.9596118e-05,0.012887409,0.001641579
0.00056789815,0.011486073,0.0017412715
0.0080474615,0.0051504383,0.0004360536
0.00024329749,0.009534708,0.0083673885
0.012386659,0.0047907596,-6.420608e-05
-0.0020584594,0.007946573,0.009656969
0.0005252606,0.00938213,0.0029655844
-0.0005155489,0.010000628,0.0026116846
0.005942546,0.007789905,0.0010639932
0.009271544,0.0048585213,0.0018746152
0.02142515,0.0070049623,-0.0017479816
1.1325758e-05,0.0064954152,0.0032547724
-0.001174391,0.0104322415,0.0029877075
-0.00016254045,0.009463909,0.0022373549
0.008682411,0.007432647,0.0008725561
0.003860406,0.0057936274,0.0018283986
0.0013811126,0.006600038,0.0018836255
0.012031977,0.0066484967,0.00096071744
0.003052433,0.008567578,0.0010840432
-0.00031006485,0.006569895,0.0030259413
0.008250904,0.0044173775,0.0002585207
-0.0027506182,0.008077863,0.0032087516
-0.0035284925,0.00796481,0.003165676
-0.004739799,0.008260675,0.0040322556
0.009079264,0.0036587478,0.0021747246
-0.0054379376,0.0129624335,0.0077622603
-0.00032484776,0.010176551,0.0029776255
-0.0048775827,0.007376765,0.0048175193
-0.0019395408,0.010399281,0.0025643012
0.00028605567,0.011024471,0.0046492866
0.0032172387,0.009247277,0.0044953623
-5.676351e-05,0.004743295,0.0036473842
0.0018655934,0.007153787,0.002140773
0.010466271,0.006863665,0.0011602822
0.006669623,0.00886,0.0013084495
0.0064697894,0.00906313,0.0008445801
-0.0014410827,0.011381808,0.0020568497
-0.0043054246,0.00984766,0.006014726
-0.0051313424,0.00874894,0.004798237
0.0052577676,0.011243272,0.0025422205
-0.0051041883,0.010533139,0.00360707
0.009338797,0.0034405035,0.0011081378
0.004526469,0.0076484364,0.001583823
0.013204298,0.0040553245,0.0017690188
-0.004434297,0.0109985415,0.0049010413
-0.002875459,0.012434996,0.0036699395
-0.0050953934,0.00934601,0.004413767
0.015898976,0.0043992014,0.0009951361
0.008711656,0.009424762,0.0011494667
0.007146649,0.0041015726,0.004844906
-0.00027981718,0.007856889,0.003111833
-0.00307485,0.0067391256,0.009346666
0.0072723185,0.011008994,0.0018615732
0.0059197107,0.007944352,0.0011823587
-0.0014374173,0.009903574,0.0031480202
0.0012468734,0.011021396,0.0039424174
0.0021535857,0.008180877,0.0026458506
-0.0049757846,0.0105713885,0.0057208417
-0.005049616,0.0085601555,0.004589933
-0.0048199953,0.010223731,0.0036536488
-0.0051069446,0.00913995,0.0046867747
0.0050576697,0.009844243,0.0013659573
-0.0050338632,0.009864296,0.004055108
0.007680417,0.003234371,0.0013157882
-0.004410371,0.0072021494,0.004009867
