P,Q,R
-0.0030191052,-0.0017982022,-0.0053023235
-0.0033545706,0.009765821,-0.0019520838
-0.003403317,0.0011389083,0.008388252
0.00018575582,-0.003229078,0.011248502
-0.0009845403,-0.007622561,-0.0010548433
-0.0009777409,-0.0034233758,0.0002740959
0.0032729066,0.012654216,0.0036338852
0.002990001,-0.0026322228,-0.0004983419
0.002302548,-0.0038391051,0.00064678583
0.009155336,0.0010282442,0.0016187251
0.001117096,0.012436266,0.006537426
0.0057205805,0.0068572373,-0.0030602564
-0.0028851945,0.0073846662,-0.005174177
0.0057067983,0.014444129,0.0006087022
0.0004629927,0.018276846,0.0049106507
-0.0021260863,0.01619392,0.0049625398
-0.0065648053,0.0036659895,-0.009902574
0.0010413441,-4.2556396e-05,0.00053970487
-0.0023692874,0.011804209,0.0009377617
-0.0011240992,-0.0034119484,-0.008595552
0.0005997456,-0.0012670282,-0.0026780088
-0.008943437,0.010646172,-0.0035248557
0.0012816829,0.016186452,0.0037834872
-0.014287862,0.01979251,-0.004223685
-0.006000183,0.008105579,-0.0066809454
-0.009668875,0.009552261,0.00040628115
0.0008353101,0.017072579,0.0034252952
0.005362181,0.009132631,0.0012012967
-0.0020582234,0.009865018,0.012142129
-0.0057593235,-0.0066130683,-0.0015923346
0.00025926178,-0.004665246,-0.009831184
0.008207564,0.0021786685,0.013043422
2.576558e-05,0.005808659,0.0027158207
0.0039044553,0.01572356,0.0035366542
-0.0061349706,-0.0027645142,0.005548075
0.0008364804,0.016905416,0.0034209874
-0.0028316043,-0.0056712036,0.009389784
-0.0061381715,0.02035954,-0.0030454632
-0.015039875,0.0036549945,-1.2597404e-05
-0.005799884,0.0021697157,0.008620922
2.9871053e-05,0.01366375,0.0008393886
-0.0023614008,0.014948828,0.004398303
0.0038017777,0.016647559,-0.0016658895
0.00061327254,0.0014904337,-0.0053253067
-0.0058047194,0.014909803,-0.00056405156
0.003692752,0.0051325373,0.0066259922
-0.010750036,0.025745954,0.0011070909
0.005714065,0.009359615,0.0032772266
-0.0029719246,0.0138483755,0.001175576
-0.0074267816,0.021588745,-0.0023316916
-0.0024486962,0.013991116,0.0069071525
0.0008911643,-0.003966941,-0.0035754927
-0.002408978,0.0046051983,0.006554581
0.00027560734,0.0057486496,0.007048353
-0.0064251446,0.0047259284,-0.0086678
0.0010716186,-0.009691588,-0.00044145444
-0.00011496423,0.0016303994,0.0032359282
0.00091448263,0.017354624,0.004257936
0.0020420754,0.013760763,0.002676047
-0.0017926313,-0.0018038361,-0.011488929
0.008558004,0.002376508,0.004702276
-0.0074824966,0.012478775,-0.0016178405
-0.0030668331,-0.0026022124,0.0041093905
2.5001258e-05,-0.00091184105,0.00878209
0.00041635288,0.015644552,-0.009526498
0.00053951633,-0.0037719673,0.0023273476
0.0053228624,0.006655057,0.005693062
-0.0017884605,0.011888456,0.006408887
-0.0020528773,0.01733927,-0.00063022156
0.00068652834,0.0047299922,0.009343424
0.008029111,0.0026671502,0.013704228
-0.0009969933,0.011537397,0.00041483896
-0.0095058475,0.01131175,0.00643133
-0.01081782,0.012596167,-0.008641887
-0.011662375,0.02268648,0.007367773
0.0031403601,-0.0013980904,0.01970801
0.006593018,0.0059655425,0.0074701696
0.0013245702,-0.007940767,-0.0014816786
0.0013413865,0.020533144,0.001455703
0.0014543848,-0.0012000581,0.0032339604
-0.012551535,0.012780262,-0.0065204767
0.0037505878,0.016126564,-0.0017140857
1.4660858e-05,-0.0017984923,0.012845448
-0.00070076995,0.014357509,0.007421123
0.003989447,-0.0026622564,-0.004552711
0.0044920417,0.006791298,0.0054741143
-0.005998976,0.012587306,-0.0014493659
0.0069420454,0.0015507806,0.00028357407
-0.004907561,-0.005186385,0.0030408835
-0.0032676808,0.01393623,9.327527e-05
0.00033080726,0.001552092,-8.975567e-05
0.0033741866,-0.00073409267,0.004677649
0.0047952323,0.011863927,0.009012104
-0.0069893533,0.013621734,-0.0018557697
-0.0033254798,0.014311907,9.72492e-05
-0.0007418447,0.0029550933,0.0045264647
-0.00023629791,-0.00023351748,-0.0122405365
-0.010881222,0.017586505,-0.007205895
0.0064570103,0.0014300885,0.0036670498
0.0004120054,-0.0050968383,-0.0026917057
-0.015446482,0.019353563,-0.001352793
-0.0051201247,-0.0025184297,0.0032452156
0.020104248,-0.002751538,0.00023805194
0.0012877474,-0.0003493408,-0.0024772987
0.0015799026,0.004727045,0.0032124002
-0.0038675768,0.014594193,-0.00060402625
-0.0011740127,0.00045591965,-0.0028819565
0.0048127417,-0.00030204892,0.031431228
0.00012910625,-0.0017918643,-0.008190195
-0.0047168355,-1.3180452e-05,0.0032414256
-0.0053924867,0.0129799275,0.005517431
0.00046563282,-0.003113005,0.0058155823
0.00031351327,0.010895462,0.0044566034
-0.0038496119,0.019648317,-0.001093938
0.0007231567,0.005548476,0.0026659777
-0.00032872456,0.018998258,0.0039652516
-0.010110498,0.02502799,-0.00011036452
0.006123992,-0.0020288364,0.005183621
-0.00089857896,0.010661009,0.0016133783
0.0066178516,0.012446555,0.0026692925
-0.0062368996,-0.0073123095,0.0063036694
0.00034199245,-0.00096245925,0.0071362187
-0.0034046138,-0.0027854992,0.0038833753
0.00696201,-0.005693624,0.015174404
0.00072125567,0.0025307583,0.00054085616
0.01058187,0.003737375,-0.0018311611
-0.009982181,0.024579322,-0.00092006056
-0.0004172571,0.016714752,0.003764191
0.00026161154,-0.004177708,-0.0050267447
0.00026087466,-0.007072763,0.005040973
0.011513279,-0.008854621,-0.0021295268
0.0002915529,0.0072805816,0.008279362
-0.0056645116,0.011985252,0.009759609
-0.003989687,-0.0014694092,0.007485012
0.0027517497,0.015840134,0.0025611185
0.0010937535,0.007254369,-0.0040734205
0.00015115258,-0.0010202528,0.007088033
-0.0027187294,0.021942286,-0.007115992
0.002292887,0.016494686,0.0035749404
-0.0050485213,0.00997206,-0.001419867
0.0048244265,0.009302981,0.00086279726
-0.0013282587,0.015213626,-0.0012180852
-0.0055928533,0.0038648213,0.007957021
-0.00041314907,0.015976094,0.0039628977
-0.0118923485,0.015544786,-0.00428122
-0.0037501836,0.01473365,-0.007048651
-7.8213045e-05,-0.004721075,-0.0042460603
0.0065189647,0.0025768955,0.0025818914
-0.007544002,0.010393566,0.003529701
-0.0021101488,0.0050383667,-0.004305794
