asia,tub,smoke,lung,bronc,either,xray
-0.05461707,0.095724344,0.026036263,0.24492463,0.26503763,0.06408744,0.26057017
0.030006215,-0.04921826,-0.018642263,-0.019175813,-0.024761822,-0.04164953,-0.005018292
0.046988774,-0.041302644,0.0012495853,-0.08836314,-0.028321898,-0.09158553,-0.04164769
-0.011886877,0.04451642,0.0063974075,0.06807989,0.02213789,0.111073494,0.010738675
0.07373328,-0.0788413,-0.010229666,-0.062382586,-0.06531368,-0.019673873,-0.05322224
-0.018470783,0.096951455,0.020769186,0.14925826,0.19603905,0.1992318,0.14794058
0.016244177,-0.06801156,-0.03891405,-0.0391808,-0.012839004,-0.06617001,-0.003091298
0.06903261,-0.04503551,-0.03840743,-0.10791147,-0.01680094,-0.07699904,-0.026059162
-0.060158513,0.13411835,0.043732822,0.18289933,0.21333632,0.15326515,0.14407514
0.003501066,0.17140597,0.046525702,0.1666164,0.12511967,0.20905964,0.03886182
0.029556358,-0.10293676,-0.020194262,-0.109517746,-0.10831562,-0.17497808,-0.01926189
0.01366216,-0.06826818,0.0027385205,-0.13993312,-0.09119828,-0.15833256,-0.03739487
-0.03748406,0.099906325,-0.017848864,0.25355545,0.20306066,0.15017536,0.19205841
0.019272309,-0.056213133,-0.034772158,-0.008564392,-0.021335881,-0.058633916,-0.0009369552
-0.0029888542,-0.047565162,-0.008655526,-0.05978462,-0.031101955,-0.14297925,-0.016957298
0.029577564,-0.10895203,-0.07824808,-0.076423004,-0.0028204843,-0.11171104,-0.00041604042
-0.018561376,0.12124643,0.0015011281,0.23971641,0.23974575,0.16689648,0.14661172
-0.02242198,0.0694755,-0.021122873,0.29847386,0.27314186,0.10430948,0.17364335
0.036831032,-0.06379935,0.0025134832,-0.085436836,-0.04606024,-0.15272102,-0.027228631
-0.06071178,0.13795939,0.047435872,0.10289215,0.08364654,0.15683782,0.072007895
0.06587714,-0.085444614,-0.06253295,-0.06689412,0.004090078,-0.08064516,-0.025521513
0.0036223663,0.106722385,0.013266042,0.24978346,0.20493825,0.1716421,0.04333412
0.042588178,-0.051410303,-0.036797293,-0.0706656,-0.012838326,-0.10375586,-0.032146715
-0.051437557,0.09739697,0.0077898353,0.30352393,0.22540087,0.13616815,0.16170129
0.058955144,-0.07449728,-0.031055333,-0.09022497,-0.00969813,-0.07746793,-0.035658076
-0.030738844,0.12155846,0.040001594,0.2969488,0.26273924,0.09681903,0.1265322
-0.028924791,0.11988419,0.0013280064,0.31914172,0.24403827,0.1156888,0.121566966
-0.0042015407,-0.056264944,-0.0091811605,-0.046129532,-0.018559616,-0.07559783,-0.0033285283
-0.009979468,0.065357715,0.0229363,0.24209666,0.34867197,0.12195708,0.13473268
-0.030979326,0.048310645,0.019719195,0.06760514,0.008183423,0.12509605,0.024425175
-0.022183346,0.07841468,-0.017981157,0.2652334,0.21352756,0.13910222,0.23928392
-0.016609719,0.15935087,0.022709452,0.21042679,0.16608104,0.097587384,0.117390536
0.018376416,-0.04101734,-0.010630615,-0.069423646,-0.019006357,-0.12499452,-0.031088857
-0.025536349,0.045270562,-0.012887418,0.26615655,0.38947237,0.095825076,0.17254941
0.045019798,-0.115743145,-0.017648794,-0.112921014,-0.081916936,-0.032088913,-0.09544949
0.024410844,0.07312131,0.05712267,0.19608164,0.18646163,0.18904716,0.12929589
-0.069886364,0.11066234,0.01973249,0.22583382,0.29385597,0.1052637,0.22378896
0.055105988,-0.026753515,0.002060514,-0.06444215,-0.04135412,-0.14137328,-0.046167392
0.060754113,-0.05621302,0.0011865087,-0.067877546,-0.022487741,-0.116828695,-0.042032108
